path,label
data\raw\paper\5d2ee2d6-2fd8-4d61-9cb7-fa44dfed8c0f.jpg,1
data\raw\plastic\5086852e-b76d-4535-9f43-864c5c165091.jpg,3
data\raw\paper\2910614b-40a7-4f01-a18c-17aff63eee90.jpg,1
data\raw\metal\aaba655f-3a78-4bcb-9626-719f6a3aa2b3.jpg,4
data\raw\trash\ec254edc-c671-483a-b570-7820eb27421a.jpg,5
data\raw\glass\0badb460-d33c-4a67-8fc7-3a62de33d30b.jpg,0
data\raw\metal\907322eb-4001-4f57-ac5d-aa97b543f0f7.jpg,4
data\raw\glass\5956d97a-44ef-4a95-9cd1-18eb62b23ea1.jpg,0
data\raw\paper\a313f92c-b6a4-4048-830a-67f8fdb03a60.jpg,1
data\raw\trash\350fd2ac-0c27-4116-86ef-bba67af8302b.jpg,5
data\raw\metal\bdfb04a3-45cd-4b93-9778-ebd2e0d73892.jpg,4
data\raw\cardboard\7781f5d4-695c-4749-85f8-38d61063cf4d.jpg,2
data\raw\plastic\9fe8986d-f159-4f0c-a515-f39da685e270.jpg,3
data\raw\glass\c209fc93-cf5e-4401-8ae0-c7706186b998.jpg,0
data\raw\paper\8ae723c3-9c62-459d-9f2a-7f366d3a9559.jpg,1
data\raw\plastic\3b88b79e-2663-455b-b092-ff123a65b2a0.jpg,3
data\raw\plastic\9eb40ca0-100c-4bba-889c-ccab730dc197.jpg,3
data\raw\plastic\0520c38f-4873-4494-ae1c-3caf3706fb79.jpg,3
data\raw\paper\b8354066-4def-4146-b603-0bcf90c410ef.jpg,1
data\raw\paper\f92974f7-fdc3-4abd-aade-42d20bc43376.jpg,1
data\raw\cardboard\f6e475a4-5e95-424d-ba42-73d986f16509.jpg,2
data\raw\cardboard\252424f0-71bb-49e0-b8f4-dc73430708ba.jpg,2
data\raw\glass\4f15b2d5-13ec-4e5f-b567-714e793ab9ba.jpg,0
data\raw\paper\45931f3e-e44e-4212-bee6-7fb1d8db11be.jpg,1
data\raw\glass\0defe959-ab7e-4892-9b33-79e6221e06bb.jpg,0
data\raw\cardboard\dac067ae-1072-4a03-bfc1-6c0e50f80e04.jpg,2
data\raw\glass\a4e6c3d5-eb9d-4ba6-8537-bff9e2821d2b.jpg,0
data\raw\trash\5401458f-c041-46ce-97dd-7a46e4028ea2.jpg,5
data\raw\metal\ab3626f0-b6b6-40fd-8d41-1dd53048e010.jpg,4
data\raw\metal\cf2261d5-7651-4490-9f07-22ae28f9ceab.jpg,4
data\raw\trash\a23153e0-b9dd-4d76-8384-38365bb11b2f.jpg,5
data\raw\metal\a9d2139e-59a1-4166-a82f-2b9891db6ec5.jpg,4
data\raw\plastic\37e1ef9b-dd17-4e77-ad8f-b69f66ae3097.jpg,3
data\raw\paper\ace067e9-d736-42ec-a48b-7c6f40ddae61.jpg,1
data\raw\plastic\fc775013-c8fe-4bde-8e44-01bebb4afeb7.jpg,3
data\raw\metal\3470f797-1597-4081-a4d0-157d740e9f5a.jpg,4
data\raw\metal\23f3022a-6a52-45c1-af56-65734e239c80.jpg,4
data\raw\paper\21b43fd0-ba4c-4836-94f5-3e4142f46c07.jpg,1
data\raw\plastic\03686207-3219-43a2-9523-31f1256ce2b1.jpg,3
data\raw\cardboard\412dc59f-bf0c-4988-8d0e-7e3565e67eba.jpg,2
data\raw\trash\ae758a53-b7d9-4fa2-823e-fcec10d2777e.jpg,5
data\raw\plastic\37c75c13-7276-46d6-9af1-3c6b5bc1a9d7.jpg,3
data\raw\paper\d57a2d16-d769-433b-a512-511eec37f2ae.jpg,1
data\raw\cardboard\5a48927c-43b3-4415-8951-188301f8466d.jpg,2
data\raw\paper\98085333-dabd-4eb5-9627-df9ed7f7b5c7.jpg,1
data\raw\cardboard\89535da2-fbfe-45a2-985f-728a1343c7e5.jpg,2
data\raw\glass\103c828b-b8f5-4889-8507-bc0361bd5f2e.jpg,0
data\raw\paper\0835f54a-8ae7-448d-8971-29634635550c.jpg,1
data\raw\cardboard\4c3d80ec-f01a-4e04-b2a1-05e9639aef50.jpg,2
data\raw\trash\28c2e50a-f602-47d5-b19f-cdc7deed0407.jpg,5
data\raw\paper\b0cfbd60-aff7-4d65-b877-270db67dde08.jpg,1
data\raw\metal\81059928-eb6e-4b61-a63b-417693fd949c.jpg,4
data\raw\paper\d94d035a-79b5-4b5e-866a-feb08d0866f4.jpg,1
data\raw\trash\1fb9bb33-ce10-4d83-9882-76d68dbd9fc6.jpg,5
data\raw\paper\b857905f-e729-4ca1-9380-ea25dd1dba4b.jpg,1
data\raw\glass\5659c2de-a181-4052-95ba-5df1a5629312.jpg,0
data\raw\plastic\2d8e0561-8381-49a8-89a7-9a65590a17d3.jpg,3
data\raw\glass\ad2876d8-0149-4161-b94d-6beec6ce1ea2.jpg,0
data\raw\plastic\4d5a9435-c027-4a46-af88-bfdcbd3aae2c.jpg,3
data\raw\plastic\11391368-5595-44d1-9166-70291ffdd444.jpg,3
data\raw\paper\387d1f4c-b11e-49cc-b060-0c21924d66a4.jpg,1
data\raw\metal\6b52dfe5-699a-484a-a513-4cd9f830cd8a.jpg,4
data\raw\paper\fc5aa9d5-4f71-49df-9fae-2742f9fc028d.jpg,1
data\raw\plastic\d9f3c3e9-73a8-4584-8891-dbde0ab3d764.jpg,3
data\raw\paper\2f608b54-4f52-4065-8c59-5c16fb6cdb64.jpg,1
data\raw\metal\b406799a-d6f0-4489-b732-1fa6d1d79b57.jpg,4
data\raw\paper\37f866ba-ab90-4936-8371-78cb455d3231.jpg,1
data\raw\paper\0ee55136-9add-4f8c-b699-3fa65136567b.jpg,1
data\raw\plastic\a962f338-94a5-411c-892e-e20f7e8548b9.jpg,3
data\raw\plastic\1eeda2f1-321c-4126-b234-56bfcb45e4ab.jpg,3
data\raw\plastic\3d488f82-3380-41cf-bb1d-dbc7ed2cb903.jpg,3
data\raw\plastic\53962b27-c6f6-48c2-ad05-c4d05033d5d5.jpg,3
data\raw\plastic\2cf0f0b1-7a64-4f0f-b268-e74126274bfc.jpg,3
data\raw\glass\595d50bf-97bd-4184-b660-08c921f07de4.jpg,0
data\raw\paper\d4f909df-c952-4e20-9bd6-8add62754140.jpg,1
data\raw\cardboard\0e617c63-1e36-4ca8-8bfd-73bec4291221.jpg,2
data\raw\metal\56b935b4-f82d-4ea7-aa29-c57f0ed0fa35.jpg,4
data\raw\trash\5f90034e-a6f9-4f0c-90d1-f876363865da.jpg,5
data\raw\plastic\de834c4c-84f2-4243-93ae-101d21fcd704.jpg,3
data\raw\cardboard\73242102-7298-436b-be38-1300c8c97f12.jpg,2
data\raw\metal\be0c9a3c-6c92-4cec-ac21-1259d8e283fd.jpg,4
data\raw\glass\aba1fbc6-b063-4363-9594-92ce98364b24.jpg,0
data\raw\plastic\dcf217ed-992b-40fb-8f83-7121aa422663.jpg,3
data\raw\metal\00e8a691-cd60-427d-b20e-2ce279e1b26d.jpg,4
data\raw\plastic\4e8e3fdf-a8f9-4e61-9976-1363b8b2dc8b.jpg,3
data\raw\cardboard\3d1b6d5e-d81f-4bf1-b3d7-5c702625a5a7.jpg,2
data\raw\cardboard\69486b33-0211-42ce-8c26-79add418696b.jpg,2
data\raw\paper\59403c4e-ad44-45f9-a502-df7a79c51c35.jpg,1
data\raw\metal\c7d63c56-6baa-4338-b7bf-4d76318d9199.jpg,4
data\raw\cardboard\242da4e0-2006-4d38-a0c4-d0bf2ccc419a.jpg,2
data\raw\plastic\5056ddd6-9292-4199-82de-5676904db339.jpg,3
data\raw\metal\acb8e6fd-aa8a-4ed5-b70d-ce6fab665e88.jpg,4
data\raw\paper\b6132a6e-9d29-48cb-ad47-9176b15d1f90.jpg,1
data\raw\metal\b44301b3-cb13-45a2-9ed7-721896df65b5.jpg,4
data\raw\trash\c51d51a4-213c-4239-9d39-88f797a35576.jpg,5
data\raw\glass\40781438-f79b-4758-b9aa-39ffc90fd144.jpg,0
data\raw\paper\38ac320d-a918-43c8-8d3f-2e502dd7a9c7.jpg,1
data\raw\metal\a075f7e8-e464-4ad9-b01e-5328d9fb93c2.jpg,4
data\raw\paper\b5d24168-7e46-47d4-8fe8-87e574394dad.jpg,1
data\raw\metal\6c262198-2d86-41b6-b568-f6a82406c5ea.jpg,4
data\raw\glass\8f49e119-7510-4ffe-b0b2-b4eaff171e02.jpg,0
data\raw\metal\20e38c35-7bc6-41b2-a5a1-ad1965ba71b8.jpg,4
data\raw\cardboard\e609456e-4176-4518-999b-8e83e1050cbd.jpg,2
data\raw\cardboard\766dde7b-437f-4fb1-ba41-e2eba273ec78.jpg,2
data\raw\paper\28c0755c-b659-4a89-bb3f-a56c2346459f.jpg,1
data\raw\paper\4f244c30-15f0-49e4-a458-55dd24769945.jpg,1
data\raw\plastic\1db5c91b-90b7-4ace-99b4-3a8cb9f2f2fe.jpg,3
data\raw\metal\84b0bfdb-135f-493d-9af6-29f64288f5ae.jpg,4
data\raw\plastic\83c8480f-6783-4a3b-b5db-d12f12b54e7d.jpg,3
data\raw\metal\2bc9e2ad-fb87-4a6c-8f00-731ad505381e.jpg,4
data\raw\paper\82647fac-0f12-41fc-acfd-583ec9fa3a92.jpg,1
data\raw\glass\2d9ac7bc-e10a-49dc-a7dd-9f35a6263f30.jpg,0
data\raw\metal\04356ad5-1b9e-4a9a-bd8e-3baf3c12c042.jpg,4
data\raw\metal\fcdc47d1-1c09-42af-ae79-e7991448e3ee.jpg,4
data\raw\paper\95fd73e4-e4a4-41ee-9d14-8600aaefc291.jpg,1
data\raw\trash\17228baa-e67e-417c-bde8-d60f6ced39a4.jpg,5
data\raw\metal\e48ee0ee-937c-425d-9639-59b7197bb515.jpg,4
data\raw\trash\162c8d08-0177-400c-a180-97819281a6fc.jpg,5
data\raw\glass\4d5bbbc5-ed27-44c6-9d5d-5f3107721097.jpg,0
data\raw\paper\0ee05340-b68a-44e5-be5e-146595abca5f.jpg,1
data\raw\glass\569336ae-e887-49d2-a749-c52392948e3c.jpg,0
data\raw\plastic\866a1a61-80d7-4f24-9fb3-3a1fc9f2fb59.jpg,3
data\raw\metal\1cbba3aa-9909-491c-b446-986266fef43e.jpg,4
data\raw\glass\d7790ecd-dd87-40ce-b959-cbeb0628e4bc.jpg,0
data\raw\metal\874957e8-246b-4038-8ded-b109544baad2.jpg,4
data\raw\plastic\f149411d-7982-43e1-917d-b79d83a1984c.jpg,3
data\raw\paper\805dc79d-6a8c-4e14-9932-f48149f9c98b.jpg,1
data\raw\cardboard\2c13c3aa-cd86-4216-8620-97524e5dd4a1.jpg,2
data\raw\paper\17328bd2-80c0-42ff-a1c1-b231aa646cdb.jpg,1
data\raw\plastic\0df5e4cb-730c-4aa9-8a6b-5fed0e3fa518.jpg,3
data\raw\plastic\4c778a03-00a7-445a-a07c-b72aa0888548.jpg,3
data\raw\metal\976463fa-b9cb-4d4c-a5e0-96fd67774a34.jpg,4
data\raw\paper\8f3ee08d-4a61-44b5-a83a-488795c18d55.jpg,1
data\raw\glass\85d52903-e845-4cac-8977-a4a2f61e49d2.jpg,0
data\raw\plastic\855b08f4-eb13-46bc-9896-07a3d6523427.jpg,3
data\raw\cardboard\e5eb43e6-b502-469a-b23e-930d46c51c5e.jpg,2
data\raw\paper\6349915d-efe5-4f22-bae2-da2c3d7e98cf.jpg,1
data\raw\paper\51a88db4-964c-4eb4-a1ac-f8ca09e4ae8e.jpg,1
data\raw\glass\8cf35c2a-c454-4244-83e9-8a928714ac0e.jpg,0
data\raw\metal\3e202c9d-517d-42ad-93e2-764cd43d0d92.jpg,4
data\raw\plastic\6ebf007a-1e89-48d5-9ca9-38777fe8be07.jpg,3
data\raw\plastic\3f3d46e3-c122-4688-a0a6-7c302b4829d3.jpg,3
data\raw\glass\eb040ee1-91a0-4924-8f50-b1dee2dda761.jpg,0
data\raw\plastic\31cb9ed6-c0b3-4875-ac64-93920e68bb50.jpg,3
data\raw\glass\4c85e7f9-3be6-4c6a-aac6-25ddfc8df69b.jpg,0
data\raw\paper\808d55f2-80b5-4d0d-b834-d9cd0c6b0984.jpg,1
data\raw\cardboard\883a3065-1180-493f-aac4-abcb4d40dcbc.jpg,2
data\raw\paper\0f9c7d7a-2cfc-4c8d-ac4a-330e5f7b35c0.jpg,1
data\raw\metal\eb7acf4c-227a-43f0-88f4-3e5661cc0b34.jpg,4
data\raw\glass\59ce66cf-5ce1-4fe7-9973-e782888b4db5.jpg,0
data\raw\paper\76ce69ef-265d-4cf7-89f7-539b6a4fcb6b.jpg,1
data\raw\metal\8b724140-52c4-493b-a7ba-61bdea7c3742.jpg,4
data\raw\plastic\7da4be36-b8cc-4fe6-af49-16062e49d3e1.jpg,3
data\raw\plastic\f56a547a-4889-44db-af05-dadcabf418e5.jpg,3
data\raw\cardboard\9546dddb-61ad-4591-a355-b94fa435384a.jpg,2
data\raw\cardboard\4e4f571b-d7c2-4b92-8bd5-1e9bc9b1c727.jpg,2
data\raw\paper\9f4832d2-b20d-40e9-ac1f-33fad4105394.jpg,1
data\raw\metal\d37e40eb-ff24-452c-be71-8755ecaaf2be.jpg,4
data\raw\paper\dabe9b2c-74e3-41b0-a76f-53f2b91409ac.jpg,1
data\raw\plastic\5cdc249f-ba5d-42c8-9696-dbc8d3f472a9.jpg,3
data\raw\plastic\a8a66bc3-88fc-45f0-9541-9c06a3ade229.jpg,3
data\raw\glass\0aa1cd06-402d-408b-804e-e927d14a3972.jpg,0
data\raw\cardboard\a5b01d69-c114-43f2-a042-9bf22433501c.jpg,2
data\raw\metal\63c940f7-c254-4ec5-8c02-1a936bc17c95.jpg,4
data\raw\glass\a3b5038d-f51e-402b-ae95-d5ff9dfd3506.jpg,0
data\raw\metal\ed606c9c-09e0-4659-96cf-58a4008edceb.jpg,4
data\raw\glass\4ab7f8da-a96d-40da-ac24-7a7ae718079f.jpg,0
data\raw\metal\b3d6e5fc-f8a6-47a5-bac4-cc62d5f9c062.jpg,4
data\raw\plastic\ed76ac34-7690-4d0d-9240-dd89e9900a06.jpg,3
data\raw\cardboard\cc594921-3677-4015-87dd-888a20f2c22a.jpg,2
data\raw\glass\fec46fdf-d45a-4d41-9542-14dba98343af.jpg,0
data\raw\paper\24c7c536-7ee7-476d-b5ad-119dc536e315.jpg,1
data\raw\plastic\fd98febc-487e-4d69-aad7-5f26bccc9718.jpg,3
data\raw\metal\d3e60334-b8e3-41bb-b496-3106611afea2.jpg,4
data\raw\paper\0fc1fcab-a0ab-45c0-a733-2dc23af9585f.jpg,1
data\raw\metal\78e8b7cb-bb3d-4ee9-9703-1b40a6dd5e1d.jpg,4
data\raw\glass\4aa983fc-190a-46e1-b039-69e0304729d9.jpg,0
data\raw\cardboard\26c8617b-8db1-4036-9ce9-7ce6054eebe3.jpg,2
data\raw\paper\0cbab33b-a272-4132-b1ec-727e092282df.jpg,1
data\raw\paper\e8a953b7-97ec-4bda-9a36-7e78fe016b33.jpg,1
data\raw\paper\a9f19cb3-4a22-4bc1-b941-5b6e24f53218.jpg,1
data\raw\cardboard\6a9710cb-ceb5-4f76-afdf-78f60d36a321.jpg,2
data\raw\paper\695ab123-efac-427d-b392-4230209da649.jpg,1
data\raw\glass\f2377c5e-5972-444d-8908-ca66444e8223.jpg,0
data\raw\cardboard\bd5130ad-95bd-461c-9b34-f74debadc5c3.jpg,2
data\raw\plastic\d8166a63-8c43-4833-80c0-465cc65999db.jpg,3
data\raw\paper\4cbe8c71-a641-4da5-a6ec-8329c1b29f21.jpg,1
data\raw\cardboard\eecddede-c488-4d47-8c98-793bad3ad07f.jpg,2
data\raw\glass\1eb7932d-be19-4432-8bad-959c9f20edff.jpg,0
data\raw\paper\e1dc5706-c8a1-4015-95d9-d5f68601bcb3.jpg,1
data\raw\paper\ac43f5e8-48dd-4f26-a4ab-f3510028d0b8.jpg,1
data\raw\plastic\e7641cad-c541-4e76-8eaa-0147c3c98935.jpg,3
data\raw\cardboard\087cd7d6-6b80-4a68-b9d5-5a40a70ebe04.jpg,2
data\raw\glass\14183c2a-6c69-4b17-b4fe-5b36667efc25.jpg,0
data\raw\glass\5a126edf-8845-4322-96ad-a4cce0611b1b.jpg,0
data\raw\cardboard\19a5d52e-8c64-4e6c-810e-252651ed9b0d.jpg,2
data\raw\glass\e75990be-eb91-4a4b-901e-f12e08311140.jpg,0
data\raw\paper\a620c449-c90b-441b-beee-0a5a9bd31f3b.jpg,1
data\raw\glass\e25fdef0-fcf5-4c2d-a012-f18f5ec89689.jpg,0
data\raw\plastic\fc4417f0-e14d-4d24-a82f-99957d86593c.jpg,3
data\raw\plastic\9ac7e7d4-61c2-4f8c-892e-12f2e8ace043.jpg,3
data\raw\plastic\c1f0e60f-c863-4656-8d75-0aabe1f36486.jpg,3
data\raw\cardboard\f5e4768c-c3a6-48ae-b2c1-ca4ef7e7291a.jpg,2
data\raw\cardboard\734e5365-20cd-4e64-87ff-86008db53675.jpg,2
data\raw\trash\4cbc7710-a8a4-4911-b99c-ccce0fa7ca68.jpg,5
data\raw\trash\4642929b-ba87-4837-b2e8-a7313fbd4c9f.jpg,5
data\raw\cardboard\ca2ad0ab-c822-45c4-b1aa-1e954388fe13.jpg,2
data\raw\plastic\a3b58e70-4d5d-4ea0-a9ab-ad8c48b725a1.jpg,3
data\raw\metal\3437bc9d-cbd6-4366-a65d-3d405ce2c822.jpg,4
data\raw\trash\4003572e-363a-4e7d-9deb-8e578e26103b.jpg,5
data\raw\paper\42f30768-e0db-4081-8ea7-1b721e9090da.jpg,1
data\raw\metal\1c6d6978-88f9-455d-b619-95504c2c409b.jpg,4
data\raw\paper\2fc88b87-8542-4c6a-805c-5f164fa5c72a.jpg,1
data\raw\metal\4b3f8e38-2c8e-49ea-86a9-85fb0af9b24e.jpg,4
data\raw\paper\46288b20-4833-4800-ab82-72f8405ced02.jpg,1
data\raw\plastic\caf6643b-4c1a-4718-a8b7-7d5caab4f6dd.jpg,3
data\raw\plastic\a765c2cd-1595-49bc-9073-ec60c5d16c1b.jpg,3
data\raw\glass\c580380a-af8f-4a5d-96de-651d21ee0fd3.jpg,0
data\raw\metal\1a07a44d-fff5-46e9-8010-a2fcfd95f2af.jpg,4
data\raw\trash\2e768c4b-5a5a-4cc2-a970-e755f9c3f066.jpg,5
data\raw\cardboard\0a852349-3675-4471-9f16-bed7d5f7ec76.jpg,2
data\raw\paper\7b01c997-3282-4a70-aa50-7872a452b50b.jpg,1
data\raw\glass\81060a5a-a861-4fdf-bb28-2e523e0fa863.jpg,0
data\raw\plastic\d5912161-e3b7-4df6-80d2-f9203a060ebe.jpg,3
data\raw\metal\6ca2ffc8-94e0-4ea6-9803-09aade52951b.jpg,4
data\raw\metal\d65be36d-4932-4ce6-af15-eaeea2a5e9de.jpg,4
data\raw\trash\0b5ecae2-7dd0-4df4-bb47-b3264df7ed18.jpg,5
data\raw\glass\ea28b38a-2f21-412e-8c27-2337d53523e3.jpg,0
data\raw\plastic\93e01287-5f69-45da-8f50-89ddee2a4702.jpg,3
data\raw\cardboard\f9b66097-b9af-47a0-80ef-9f1f729c970c.jpg,2
data\raw\paper\3d571b65-7297-4aaa-b195-e09356d70bc2.jpg,1
data\raw\paper\4c2fd2b5-a03f-4d25-9c05-65f6814bcaac.jpg,1
data\raw\cardboard\530bdd3b-69dc-4a64-8bf9-ceabbe915a7b.jpg,2
data\raw\plastic\875039ed-ece0-4e8c-a154-5a917566ce31.jpg,3
data\raw\cardboard\aa2bfd22-f31a-4707-ba6a-eda8cb3edb5c.jpg,2
data\raw\cardboard\b2680fcf-446f-40a3-b2bb-a41bc37032b1.jpg,2
data\raw\glass\dabd3cbb-8c05-400b-bd81-6789ae43c142.jpg,0
data\raw\metal\8ff6b77a-f259-4aa9-a51b-6368106f0054.jpg,4
data\raw\plastic\30ec1ed5-4e53-480a-b032-89a6884dd9a3.jpg,3
data\raw\glass\0149a5f6-112f-4ff2-adcd-51b9901e5180.jpg,0
data\raw\paper\aa238cd4-1eb4-455d-9c1c-7ed2c34828ed.jpg,1
data\raw\glass\6cf50200-2c63-471a-81b9-03778553ee60.jpg,0
data\raw\glass\4ff7b679-648e-4188-a678-18d3c766d57d.jpg,0
data\raw\paper\e4e98791-e243-435c-b882-5106640013c3.jpg,1
data\raw\glass\224d165c-80e3-4cd5-aa0a-fa6df1dbc6a1.jpg,0
data\raw\cardboard\3ab3f789-8c1e-4fac-bd09-d61928db0eee.jpg,2
data\raw\paper\e83a2c42-4fff-4a2b-9d3b-4d163107b865.jpg,1
data\raw\cardboard\33ec82d2-a6dc-47ca-860d-1366a689c1b9.jpg,2
data\raw\plastic\b1e75d59-06e7-4177-b4c8-112568f9a26a.jpg,3
data\raw\glass\259cc3b2-e2e6-4a9b-bb27-9627fca2b124.jpg,0
data\raw\cardboard\a695a288-1304-4aa4-b26f-6c38a9faf768.jpg,2
data\raw\glass\7491c76d-9259-4ed6-8ff0-2902ffbdfeed.jpg,0
data\raw\plastic\c77b8072-cd41-4e41-a4f0-c84fc406d4eb.jpg,3
data\raw\metal\0fd8ac83-615f-46b4-bcbc-33ff1a47ba0a.jpg,4
data\raw\cardboard\6c1d24ea-af2c-44a5-a941-4a414a0a6583.jpg,2
data\raw\glass\6dc7bfa4-89c4-44fe-93d6-e706d8fa3547.jpg,0
data\raw\cardboard\5eb440f9-d6d8-40df-9c62-2edff0746d4a.jpg,2
data\raw\plastic\8fd22fce-d4b3-4031-9c18-8de115a1c711.jpg,3
data\raw\paper\0f7b2976-4e02-4217-8c89-725cd91b28cf.jpg,1
data\raw\plastic\ef78192d-6c55-41bf-951f-efe5076086f9.jpg,3
data\raw\cardboard\f47792d8-9c58-4c49-9541-bb3bf542a575.jpg,2
data\raw\cardboard\472843de-1c56-445d-a42c-9def4d6b677f.jpg,2
data\raw\metal\002fc2d6-2799-4601-a08c-d99daa4577a4.jpg,4
data\raw\cardboard\2976bd0f-26ba-4580-b471-8d1151feeb56.jpg,2
data\raw\paper\2f95d75e-1e84-4ea0-8c28-c00a2b4f142e.jpg,1
data\raw\paper\930514b8-3919-4027-9dd8-e95317f13418.jpg,1
data\raw\metal\0b39a864-ab5a-4ddc-9041-2eacd9fa0a78.jpg,4
data\raw\glass\3349a0d9-968b-4c20-a222-6464b8a063a5.jpg,0
data\raw\metal\f8b04ff8-84a8-4acf-a6da-1ad683b4aa23.jpg,4
data\raw\trash\b66ad01e-ec87-4c9f-bfba-fe0f66aaed98.jpg,5
data\raw\glass\3a12896f-3767-4cec-81c8-3071c4c8d1db.jpg,0
data\raw\metal\b328be4b-287a-4a2c-8fa1-d5a78684f11d.jpg,4
data\raw\paper\4447df8c-0a80-43f2-b67b-2b2ebd951f96.jpg,1
data\raw\plastic\1ee5032e-8db4-4349-9d39-3d62837fa26d.jpg,3
data\raw\paper\619dc4d3-d833-41a7-93c6-e6ee8b96303e.jpg,1
data\raw\glass\3ea8b6b8-ce9a-4277-b109-2fbd3b92b008.jpg,0
data\raw\plastic\2532955b-612e-43b5-88f3-f3417006d095.jpg,3
data\raw\paper\2a3b1d10-5233-475e-8c27-6cfc7c248a2e.jpg,1
data\raw\metal\e11f2905-2311-45b3-ad25-c1a6039a1265.jpg,4
data\raw\paper\8fdea917-77a1-42a8-bb7f-90f98a27e25f.jpg,1
data\raw\paper\70bc6c07-dad4-4d17-ada4-12a8496981e2.jpg,1
data\raw\glass\624b4fa5-2b79-455c-8aa8-03d6c79a814a.jpg,0
data\raw\cardboard\95fb5ccf-c21c-4d75-b508-d44cd4f83f13.jpg,2
data\raw\cardboard\1252308f-0805-4cdc-92ec-c0fe5915c24f.jpg,2
data\raw\metal\5fcf1e18-edcd-450a-9998-cd0c8007a779.jpg,4
data\raw\plastic\de164af9-8f4d-4c29-bf27-41a1833ceaa1.jpg,3
data\raw\metal\34c524f4-4c99-420b-898a-6634e5fbe2af.jpg,4
data\raw\glass\72d4ea84-5c06-40af-8efe-bfd10f088b53.jpg,0
data\raw\paper\22faaa68-81a9-43d1-8cb0-54959fd58ff7.jpg,1
data\raw\glass\3b018507-f652-415c-88df-ef30f416ff7c.jpg,0
data\raw\glass\f1b2893f-5955-4c1c-8931-890b2cf5e766.jpg,0
data\raw\paper\2f524c45-d60e-4e2e-9c22-a13ac9720e40.jpg,1
data\raw\paper\0ff006d0-075e-4fde-b9bb-393cbec21534.jpg,1
data\raw\plastic\55aa3c97-b3be-45cd-bca7-1fd272ac5176.jpg,3
data\raw\metal\8f544a74-6e53-4393-96bd-3b2ca9a9030a.jpg,4
data\raw\paper\042cd1b3-260d-42d2-ab8c-1dd8acc997bc.jpg,1
data\raw\metal\a297cdf3-d1c9-4eae-888a-33fa859abf52.jpg,4
data\raw\metal\31819d10-5c64-4574-b661-6aa48a4c0da8.jpg,4
data\raw\trash\ac647f46-e0bf-4c35-b8c2-b86078df7d94.jpg,5
data\raw\glass\52e6e005-1d3d-41d4-a783-e87b9d25bb4b.jpg,0
data\raw\paper\e8675fd8-7fa5-4747-b572-073e5d1a57c3.jpg,1
data\raw\paper\972d0963-a352-4ff2-9285-62b7860f6fee.jpg,1
data\raw\cardboard\32045acd-7559-4024-9784-e5e9a165a4bb.jpg,2
data\raw\glass\638f2734-f7a4-47b8-b4aa-e22306bc4bb8.jpg,0
data\raw\plastic\c0381e7f-79f7-4dea-9452-5c6850b13d0f.jpg,3
data\raw\metal\5d8b9a28-6eac-4eca-95b4-1d92eedfecf3.jpg,4
data\raw\paper\8fd71ed9-d46b-4693-b4f9-3df258f00095.jpg,1
data\raw\cardboard\f7686aa0-a1c5-4004-b1fa-b38eb09b9c28.jpg,2
data\raw\plastic\799fc3e0-d4e3-45ca-bc92-d91d65ada55b.jpg,3
data\raw\glass\3675b7d4-cf82-4233-a513-0c26479abdf7.jpg,0
data\raw\paper\ddfd45ca-0ffc-4498-97d7-04b6c744c296.jpg,1
